Country,Posn,Name,Games,Tackles,Dominant Tackles,Tackle Breaks,Metres With Ball,MoM,Try,Conversion,Penalty,Drop Goal,Yellow Card,Red Card,Total Points
England,H, L. COWAN-DICKIE,1,5,,3,133,,,,,,1,,50.9
England,W, M. MALINS,1,5,1,1,116,,,,,,,,48.2
England,FH, M. SMITH,1,2,,,26,,1,,4,,,,38.7
England,BR, S. SIMMONDS,1,6,,1,74,,,,,,,,33.4
England,BR, T. CURRY,1,9,2,,40,,,,,,,,29.4
England,BR, L. LUDLAM,1,7,,,56,,,,,,,,25.7
England,P, K. SINCKLER,1,8,1,,36,,,,,,,,23.7
England,C, H. SLADE,1,3,,1,44,,,,,,,,21.6
England,FB, E. DALY,1,4,1,1,29,,,,,,,,21.1
England,FB, F. STEWARD,1,,,,58,,,,,,,,19.8
England,P, E. GENGE,1,7,1,,26,,,,,,,,19.7
England,SH, B. YOUNGS,1,4,,1,19,,,,,,,,15.1
England,C, J. MARCHANT,1,5,,,19,,,,,,,,13.1
England,SR, N. ISIEKWE,1,5,,,17,,,,,,,,12.4
England,SR, M. ITOJE,1,3,1,,11,,,,,,,,11.7
England,FH,G. FORD,1,5,,,5,,,,,,,,7
England,BR, A. DOMBRANDT,1,2,,,7,,,,,,,,4.6
England,H, J. GEORGE,1,2,,,4,,,,,,,,3.5
England,P, W. STUART,1,1,,,,,,,,,,,1.5
England,P, J. MARLER,1,,,,3,,,,,,,,1.4
England,SR, C. EWELS,1,,,,,,,,,,,,0.1
France,W, G. VILLIERE,1,3,,5,121,,3,,,,,,112.7
France,W, D. PENAUD,1,5,1,5,91,,1,,,,,,78.7
France,BR, G. ALLDRITT,1,11,1,3,96,,,,,,,,63.5
France,BR, A. JELONCH,1,11,,2,49,,1,,,,,,60.1
France,C, J. DANTY,1,3,,3,55,,,,,,,,38.2
France,C, G. FICKOU,1,10,,2,29,,,,,,,,38.1
France,FB, M. JAMINET,1,,,,40,,,2,2,,,,36.6
France,BR, D. CRETIN,1,6,,,47,,,,,,,,33.5
France,BR, C. WOKI,1,8,,,22,,,,,,,,28
France,SH, A. DUPONT,1,5,,,33,,,,,,,,26.6
France,FH, R. NTAMACK,1,10,,,,,,1,,,,,26.4
France,H, J. MARCHAND,1,4,,1,29,,,,,,,,25.4
France,SR, P. WILLEMSE,1,11,,,13,,,,,,,,24.3
France,P, C. BAILLE,1,2,,1,27,,,,,,,,21.5
France,P, U. ATONIO,1,,1,,17,,,,,,,,16.5
France,C, Y. MOEFANA,1,1,,,28,,,,,,,,13.3
France,P, J. GROS,1,6,,,5,,,,,,,,12.7
France,P, D. BAMBA,1,4,,,,,,,,,,,9.2
France,SR, R. TAOFIFENUA,1,2,,,7,,,,,,,,8.3
France,BR, F. CROS,1,4,,,5,,,,,,,,7.3
France,H, P. MAUVAKA,1,,,,,,,,,,,,3.9
France,FB, T. RAMOS,1,,,,4,,,,,,,,2.2
France,SH, M. LUCU,1,,,,,,,,,,,,1.8
Ireland,C, G. RINGROSE,1,7,,2,110,,1,,,,,,73.4
Ireland,C, B. AKI,1,9,,1,113,,1,,,,,,73.3
Ireland,W, A. CONWAY,1,2,,3,60,,2,,,,,,68.6
